di;E;oggi;B;è;V;1
oggi;B;è;V;sul;E+RD;1
è;V;sul;E+RD;modello;S;1
sul;E+RD;modello;S;relazionale;A;1
modello;S;relazionale;A;ma;CC;1
relazionale;A;ma;CC;prima;B;1
ma;CC;prima;B;di;E;1
prima;B;di;E;entrare;V;1
di;E;entrare;V;sul;E+RD;1
entrare;V;sul;E+RD;modello;V;1
sul;E+RD;modello;V;relazionale;A;1
modello;V;relazionale;A;ricapitoliamo;S;1
relazionale;A;ricapitoliamo;S;brevemente;B;1
ricapitoliamo;S;brevemente;B;quello;PD;1
brevemente;B;quello;PD;che;PR;1
quello;PD;che;PR;abbiamo;VA;1
che;PR;abbiamo;VA;visto;V;1
abbiamo;VA;visto;V;nella;E+RD;1
visto;V;nella;E+RD;lezione;S;1
nella;E+RD;lezione;S;di;E;1
lezione;S;di;E;ieri;B;1
di;E;ieri;B;e;CC;1
ieri;B;e;CC;introduciamo;V;1
e;CC;introduciamo;V;un;RI;1
introduciamo;V;un;RI;altro;A;1
un;RI;altro;A;concetto;S;1
altro;A;concetto;S;che;PR;1
concetto;S;che;PR;ieri;B;1
che;PR;ieri;B;non;BN;1
ieri;B;non;BN;ho;VA;1
non;BN;ho;VA;descritto;V;1
ho;VA;descritto;V;in;E;1
descritto;V;in;E;maniera;S;1
in;E;maniera;S;precisa;A;1
maniera;S;precisa;A;anziché;E;1
precisa;A;anziché;E;non;BN;1
anziché;E;non;BN;ho;VA;1
non;BN;ho;VA;abbiamo;VA;1
ho;VA;abbiamo;VA;detto;V;1
abbiamo;VA;detto;V;il;RD;1
detto;V;il;RD;dbms;S;1
il;RD;dbms;S;sono;V;1
dbms;S;sono;V;gli;RD;1
sono;V;gli;RD;strumenti;S;1
gli;RD;strumenti;S;di;E;1
strumenti;S;di;E;gestione;S;1
di;E;gestione;S;delle;E+RD;1
delle;E+RD;basi;S;di;E;1
di;E;dati;S;sono;V;1
dati;S;sono;V;dei;E+RD;1
sono;V;dei;E+RD;prodotti;S;1
dei;E+RD;prodotti;S;software;S;1
prodotti;S;software;S;completi;A;1
software;S;completi;A;complessi;A;1
completi;A;complessi;A;che;CS;1
complessi;A;che;CS;consentono;V;1
che;CS;consentono;V;di;E;1
consentono;V;di;E;gestire;V;1
di;E;gestire;V;le;RD;1
gestire;V;le;RD;basi;S;1
le;RD;basi;S;di;E;1
di;E;dati;S;differenza;S;1
dati;S;differenza;S;fondamentale;A;1
differenza;S;fondamentale;A;una;RI;1
fondamentale;A;una;RI;cosa;PQ;1
una;RI;cosa;PQ;il;RD;1
cosa;PQ;il;RD;software;S;1
il;RD;software;S;di;E;1
software;S;di;E;gestione;S;1
di;E;gestione;S;una;RI;1
gestione;S;una;RI;cosa;S;1
una;RI;cosa;S;da;E;1
cosa;S;da;E;base;S;1
da;E;base;S;dei;E+RD;1
dati;S;che;PR;è;V;1
che;PR;è;V;normalmente;B;1
è;V;normalmente;B;molto;B;1
normalmente;B;molto;B;al;E+RD;1
molto;B;al;E+RD;di;E;1
al;E+RD;di;E;là;B;1
di;E;là;B;delle;E+RD;1
là;B;delle;E+RD;dimensioni;S;1
delle;E+RD;dimensioni;S;gestibili;A;1
dimensioni;S;gestibili;A;dalla;E+RD;1
gestibili;A;dalla;E+RD;memoria;S;1
dalla;E+RD;memoria;S;del;E+RD;1
memoria;S;del;E+RD;server;S;1
del;E+RD;server;S;e;CC;1
server;S;e;CC;dbms;S;1
e;CC;dbms;S;è;V;1
dbms;S;è;V;progettato;V;1
